Batsman Name,Team,Dots,Singles,Doubles,Triples,Fours,Sixes,Runs,Deliveries,Opposition Team,Career Average,Match ID,Match Date,Match Year,Venue,,
SM Pollock,South Africa,7,2,0,0,0,0,2,9,Sri Lanka,26.45,1451,May-19-1999,1999,Northampton,,
L Klusener,South Africa,19,18,1,0,5,2,52,45,Sri Lanka,41.1,1451,May-19-1999,1999,Northampton,,
S Elworthy,South Africa,28,7,2,0,3,0,23,40,Sri Lanka,12.5,1451,May-19-1999,1999,Northampton,,
AA Donald,South Africa,13,3,0,0,0,0,3,16,Sri Lanka,4.31,1451,May-19-1999,1999,Northampton,,
ST Jayasuriya,Sri Lanka,11,1,2,0,0,0,5,14,South Africa,32.36,1451,May-19-1999,1999,Northampton,,
RS Kaluwitharana,Sri Lanka,8,1,0,0,1,0,5,10,South Africa,22.22,1451,May-19-1999,1999,Northampton,,
MS Atapattu,Sri Lanka,9,1,0,0,0,0,1,10,South Africa,37.57,1451,May-19-1999,1999,Northampton,,
PA de Silva,Sri Lanka,7,1,0,0,0,0,1,8,South Africa,34.9,1451,May-19-1999,1999,Northampton,,
RS Mahanama,Sri Lanka,49,14,5,0,3,0,36,71,South Africa,29.49,1451,May-19-1999,1999,Northampton,,
A Ranatunga,Sri Lanka,15,3,0,0,1,0,7,19,South Africa,35.84,1451,May-19-1999,1999,Northampton,,
DPMD Jayawardene,Sri Lanka,23,4,1,0,4,0,22,32,South Africa,33.37,1451,May-19-1999,1999,Northampton,,
UDU Chandana,Sri Lanka,16,5,0,0,1,0,9,22,South Africa,17.3,1451,May-19-1999,1999,Northampton,,
WPUJC Vaas,Sri Lanka,9,1,0,0,0,0,1,10,South Africa,13.68,1451,May-19-1999,1999,Northampton,,
GP Wickramasinghe,Sri Lanka,13,3,0,1,0,0,6,17,South Africa,8.6,1451,May-19-1999,1999,Northampton,,
M Muralitharan,Sri Lanka,0,0,0,0,0,0,0,0,South Africa,6.8,1451,May-19-1999,1999,Northampton,,
ME Waugh,Australia,3,2,0,0,0,0,2,5,New Zealand,39.35,1452,May-20-1999,1999,Cardiff,,
AC Gilchrist,Australia,20,5,1,1,1,0,14,28,New Zealand,35.89,1452,May-20-1999,1999,Cardiff,,
RT Ponting,Australia,56,25,3,0,4,0,47,88,New Zealand,42.03,1452,May-20-1999,1999,Cardiff,,
DS Lehmann,Australia,46,36,4,0,8,0,76,94,New Zealand,38.96,1452,May-20-1999,1999,Cardiff,,
SR Waugh,Australia,12,5,1,0,0,0,7,18,New Zealand,32.9,1452,May-20-1999,1999,Cardiff,,
MG Bevan,Australia,16,13,2,0,1,0,21,32,New Zealand,53.58,1452,May-20-1999,1999,Cardiff,,
S Lee,Australia,6,2,0,0,0,0,2,8,New Zealand,39.31,1452,May-20-1999,1999,Cardiff,,
SK Warne,Australia,6,5,1,0,2,0,15,14,New Zealand,13.05,1452,May-20-1999,1999,Cardiff,,
DW Fleming,Australia,4,6,1,0,0,0,8,11,New Zealand,11.69,1452,May-20-1999,1999,Cardiff,,
AC Dale,Australia,2,3,0,0,0,0,3,5,New Zealand,19.5,1452,May-20-1999,1999,Cardiff,,
MJ Horne,New Zealand,6,1,0,0,1,0,5,8,Australia,20.41,1452,May-20-1999,1999,Cardiff,,
NJ Astle,New Zealand,5,2,1,0,0,0,4,8,Australia,34.92,1452,May-20-1999,1999,Cardiff,,
CD McMillan,New Zealand,42,3,7,0,3,0,29,55,Australia,28.18,1452,May-20-1999,1999,Cardiff,,
SP Fleming,New Zealand,15,3,1,0,1,0,9,20,Australia,32.4,1452,May-20-1999,1999,Cardiff,,
RG Twose,New Zealand,56,26,7,0,10,0,80,99,Australia,38.81,1452,May-20-1999,1999,Cardiff,,
CL Cairns,New Zealand,49,18,2,0,5,3,60,77,Australia,29.46,1452,May-20-1999,1999,Cardiff,,
AC Parore,New Zealand,7,0,0,0,1,1,10,9,Australia,25.68,1452,May-20-1999,1999,Cardiff,,
